
START TIME:2023-11-15 19:05:44
STEP-01 BiasVMeasureI-Single

TIME,V(V),I(A),R(OHM)
0.078,+1.000000E+00,+1.188079E-04,+8.416949E+003
0.125,+1.000000E+00,+1.188851E-04,+8.411483E+003
0.178,+1.000000E+00,+1.189245E-04,+8.408696E+003
0.228,+1.000000E+00,+1.188732E-04,+8.412325E+003
0.276,+1.000000E+00,+1.188995E-04,+8.410464E+003
0.331,+1.000000E+00,+1.188819E-04,+8.411709E+003
0.382,+1.000000E+00,+1.188760E-04,+8.412127E+003
0.430,+1.000000E+00,+1.188653E-04,+8.412884E+003
0.484,+1.000000E+00,+1.189103E-04,+8.409700E+003
0.535,+1.000000E+00,+1.189313E-04,+8.408215E+003
0.583,+1.000000E+00,+1.189407E-04,+8.407551E+003
0.637,+1.000000E+00,+1.189910E-04,+8.403997E+003
0.689,+1.000000E+00,+1.189961E-04,+8.403637E+003
0.737,+1.000000E+00,+1.189632E-04,+8.405961E+003
0.792,+1.000000E+00,+1.189825E-04,+8.404597E+003
0.843,+1.000000E+00,+1.189659E-04,+8.405770E+003
0.891,+1.000000E+00,+1.189922E-04,+8.403912E+003
0.945,+1.000000E+00,+1.189733E-04,+8.405247E+003
0.996,+1.000000E+00,+1.189410E-04,+8.407530E+003
1.043,+1.000000E+00,+1.189782E-04,+8.404901E+003
1.097,+1.000000E+00,+1.189967E-04,+8.403594E+003
1.150,+1.000000E+00,+1.189506E-04,+8.406851E+003
1.198,+1.000000E+00,+1.189681E-04,+8.405615E+003
1.252,+1.000000E+00,+1.190061E-04,+8.402931E+003
1.304,+1.000000E+00,+1.189708E-04,+8.405424E+003
1.351,+1.000000E+00,+1.189569E-04,+8.406406E+003
1.406,+1.000000E+00,+1.189392E-04,+8.407657E+003
1.457,+1.000000E+00,+1.189403E-04,+8.407579E+003
1.505,+1.000000E+00,+1.189448E-04,+8.407261E+003
1.559,+1.000000E+00,+1.189298E-04,+8.408322E+003
1.611,+1.000000E+00,+1.189039E-04,+8.410153E+003
1.658,+1.000000E+00,+1.189200E-04,+8.409014E+003
1.713,+1.000000E+00,+1.189514E-04,+8.406795E+003
1.764,+1.000000E+00,+1.189501E-04,+8.406887E+003
1.812,+1.000000E+00,+1.189518E-04,+8.406766E+003
1.867,+1.000000E+00,+1.189918E-04,+8.403940E+003
1.918,+1.000000E+00,+1.189258E-04,+8.408604E+003
1.966,+1.000000E+00,+1.188857E-04,+8.411441E+003
2.020,+1.000000E+00,+1.188810E-04,+8.411773E+003
2.071,+1.000000E+00,+1.189059E-04,+8.410012E+003
2.120,+1.000000E+00,+1.189726E-04,+8.405297E+003
2.173,+1.000000E+00,+1.189730E-04,+8.405268E+003
2.225,+1.000000E+00,+1.189337E-04,+8.408046E+003
2.273,+1.000000E+00,+1.189688E-04,+8.405565E+003
2.328,+1.000000E+00,+1.189404E-04,+8.407572E+003
2.379,+1.000000E+00,+1.188788E-04,+8.411929E+003
2.427,+1.000000E+00,+1.189584E-04,+8.406300E+003
2.481,+1.000000E+00,+1.189597E-04,+8.406208E+003
2.532,+1.000000E+00,+1.189619E-04,+8.406053E+003
2.580,+1.000000E+00,+1.189853E-04,+8.404400E+003
2.635,+1.000000E+00,+1.189813E-04,+8.404682E+003
2.686,+1.000000E+00,+1.189508E-04,+8.406837E+003
2.734,+1.000000E+00,+1.189401E-04,+8.407593E+003
2.787,+1.000000E+00,+1.189241E-04,+8.408725E+003
2.840,+1.000000E+00,+1.189827E-04,+8.404583E+003
2.887,+1.000000E+00,+1.189036E-04,+8.410174E+003
2.941,+1.000000E+00,+1.189668E-04,+8.405706E+003
2.993,+1.000000E+00,+1.189760E-04,+8.405056E+003
3.041,+1.000000E+00,+1.190020E-04,+8.403220E+003
3.096,+1.000000E+00,+1.190241E-04,+8.401660E+003
3.147,+1.000000E+00,+1.190073E-04,+8.402846E+003
3.195,+1.000000E+00,+1.190152E-04,+8.402288E+003
3.248,+1.000000E+00,+1.189524E-04,+8.406724E+003
3.301,+1.000000E+00,+1.190022E-04,+8.403206E+003
3.349,+1.000000E+00,+1.189507E-04,+8.406844E+003
3.403,+1.000000E+00,+1.189697E-04,+8.405502E+003
3.455,+1.000000E+00,+1.189986E-04,+8.403460E+003
3.503,+1.000000E+00,+1.189772E-04,+8.404972E+003
3.558,+1.000000E+00,+1.189642E-04,+8.405890E+003
3.608,+1.000000E+00,+1.189390E-04,+8.407671E+003
3.656,+1.000000E+00,+1.189196E-04,+8.409043E+003
3.711,+1.000000E+00,+1.189372E-04,+8.407798E+003
3.762,+1.000000E+00,+1.189148E-04,+8.409382E+003
3.810,+1.000000E+00,+1.190024E-04,+8.403192E+003
3.865,+1.000000E+00,+1.190164E-04,+8.402203E+003
3.915,+1.000000E+00,+1.190099E-04,+8.402662E+003
3.963,+1.000000E+00,+1.190463E-04,+8.400093E+003
4.017,+1.000000E+00,+1.190206E-04,+8.401907E+003
4.068,+1.000000E+00,+1.190318E-04,+8.401116E+003
4.115,+1.000000E+00,+1.190054E-04,+8.402980E+003
4.169,+1.000000E+00,+1.190060E-04,+8.402938E+003
4.221,+1.000000E+00,+1.190172E-04,+8.402147E+003
4.269,+1.000000E+00,+1.190115E-04,+8.402549E+003
4.324,+1.000000E+00,+1.190196E-04,+8.401977E+003
4.374,+1.000000E+00,+1.190457E-04,+8.400135E+003
4.422,+1.000000E+00,+1.190146E-04,+8.402330E+003
4.476,+1.000000E+00,+1.190248E-04,+8.401610E+003
4.527,+1.000000E+00,+1.190075E-04,+8.402832E+003
4.575,+1.000000E+00,+1.190120E-04,+8.402514E+003
4.630,+1.000000E+00,+1.189986E-04,+8.403460E+003
4.681,+1.000000E+00,+1.189733E-04,+8.405247E+003
4.729,+1.000000E+00,+1.189644E-04,+8.405876E+003
4.783,+1.000000E+00,+1.189434E-04,+8.407360E+003
4.835,+1.000000E+00,+1.189642E-04,+8.405890E+003
4.883,+1.000000E+00,+1.190013E-04,+8.403270E+003
4.936,+1.000000E+00,+1.189874E-04,+8.404251E+003
4.988,+1.000000E+00,+1.189666E-04,+8.405721E+003
5.036,+1.000000E+00,+1.189375E-04,+8.407777E+003
5.091,+1.000000E+00,+1.189072E-04,+8.409920E+003
5.142,+1.000000E+00,+1.189386E-04,+8.407699E+003
5.190,+1.000000E+00,+1.189550E-04,+8.406540E+003
5.243,+1.000000E+00,+1.189108E-04,+8.409665E+003
5.295,+1.000000E+00,+1.189673E-04,+8.405671E+003
5.343,+1.000000E+00,+1.189371E-04,+8.407805E+003
5.397,+1.000000E+00,+1.189712E-04,+8.405396E+003
5.449,+1.000000E+00,+1.189646E-04,+8.405862E+003
5.497,+1.000000E+00,+1.189859E-04,+8.404357E+003
5.552,+1.000000E+00,+1.190272E-04,+8.401441E+003
5.602,+1.000000E+00,+1.189745E-04,+8.405162E+003
5.650,+1.000000E+00,+1.189989E-04,+8.403439E+003
5.704,+1.000000E+00,+1.189329E-04,+8.408102E+003
5.756,+1.000000E+00,+1.189916E-04,+8.403955E+003
5.804,+1.000000E+00,+1.189350E-04,+8.407954E+003
